YEAR,SQUARE  ,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,SAMPLING_TIME,METHOD,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
2007,HHGYVR,1,08-Jun-07,0.5,10,20,15,1,4,1,0,0,20,0,80,21s,29,True uplands (Scotland),SCO,Highland
2007,HFZBUF,1,04-Sep-07,0.35,2,2,2,1,4,1,0,0,0,0,100,28s,36,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,IKROEN,1,22-May-07,6,20,30,30,,4,1,0,5,95,0,0,21s,29,True uplands (Scotland),SCO,Highland
2007,VLABYI,1,03-Oct-07,1.7,16,16,18,5,,1,0,10,80,10,0,25s,33,Lowlands (Scotland),SCO,Moray
2007,DOCHFG,1,01-Oct-07,0.4,4,4,4,1,,1,0,75,20,5,0,28s,36,Intermediate uplands and Islands (Scotland),SCO,Moray
2007,ANHJGW,1,06-Aug-07,1,40,50,40,1,4,16,0,0,0,0,100,29s,37,Intermediate uplands and Islands (Scotland),SCO,Eilean Siar
2007,ZTUIEI,2,21-Aug-07,1.5,9,15,3,3,,1,0,20,70,10,0,28s,36,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,JFYGIL,1,08-Aug-07,0.15,2,2,2,1,4,1,80,100,0,0,0,30s,38,Intermediate uplands and Islands (Scotland),SCO,Eilean Siar
2007,ELWJGA,1,12-Jun-07,0.25,5,5,5,1,4,1,0,30,70,0,0,29s,37,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,VIYZXK,1,25-Aug-07,1.1,3,10,2,1,,1,5,50,25,0,25,28s,36,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,KVEVJD,1,10-Aug-07,0.3,2,2,1,4,4,1,90,100,0,0,0,29s,37,Intermediate uplands and Islands (Scotland),SCO,Eilean Siar
2007,QNUBNN,1,17-May-07,0.4,50,50,50,,4,1,0,0,25,0,75,21s,29,True uplands (Scotland),SCO,Highland
2007,SGZFTP,1,19-May-07,0.5,10,70,13,3,4,1,0,100,0,0,0,21s,29,True uplands (Scotland),SCO,Highland
2007,QYXARR,1,13-Aug-07,1.5,20,20,15,1,4,1,0,100,0,0,0,32s,40,Intermediate uplands and Islands (Scotland),SCO,Eilean Siar
2007,YUCTHB,1,09-Aug-07,2,20,25,25,3,4,1,0,0,100,0,0,32s,40,Intermediate uplands and Islands (Scotland),SCO,Eilean Siar
2007,OVZQKU,1,08-Jun-07,1.75,12,20,10,,4,1,0,50,50,0,0,21s,29,True uplands (Scotland),SCO,Highland
2007,OQQSNF,1,01-Aug-07,1.6,10,10,14,4,4,1,0,66,34,0,0,32s,40,Intermediate uplands and Islands (Scotland),SCO,Eilean Siar
2007,CIPHOQ,1,08-Aug-07,1,35,42,42,4,4,16,0,25,35,0,40,32s,40,Intermediate uplands and Islands (Scotland),SCO,Eilean Siar
2007,GGCZVE,1,06-Jun-07,1.75,12,22,30,1,4,1,0,80,20,0,0,28s,36,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,JEPNTE,1,11-Jun-07,2.5,20,30,20,3,4,1,0,70,30,0,0,21s,29,True uplands (Scotland),SCO,Highland
2007,QVCPLP,1,04-Aug-07,0.4,65,19,15,4,4,16,0,0,5,5,90,30s,38,Intermediate uplands and Islands (Scotland),SCO,Eilean Siar
2007,JTEHKQ,1,16-May-07,0.5,20,40,20,1,4,16,50,0,0,0,100,32s,40,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,KUWSSI,1,08-Jun-07,0.3,5,5,5,1,4,1,0,0,0,0,100,28s,36,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,JBQWJT,1,11-Jun-07,3.2,14,,,1,4,16,0,0,50,50,0,28s,36,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,TZYVRC,1,13-Aug-07,0.93,11,6,12,4,4,1,55,75,0,0,25,31s,39,Intermediate uplands and Islands (Scotland),SCO,Eilean Siar
2007,FPZGGG,1,21-May-07,2.5,20,20,20,2,4,1,0,60,40,0,0,21s,29,True uplands (Scotland),SCO,Highland
2007,UTZMGL,1,05-Jun-07,1,15,20,15,2,4,16,100,0,0,0,100,31s,39,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,SHOJSV,1,19-Jul-07,1,8,5,6,2,4,1,0,30,30,40,0,32s,40,Intermediate uplands and Islands (Scotland),SCO,Orkney Islands
2007,GPKWZZ,1,17-Jul-07,0.6,2,4,2,1,4,1,0,50,30,20,0,31s,39,Intermediate uplands and Islands (Scotland),SCO,Orkney Islands
